nom_departement;nom_region;Salaire_n_mensuel;nombre_d_habitants;densite_de_population_au_km2;variation_de_la_population_sur_10_ans_en;dont_contribution_du_solde_naturel_en;dont_contribution_du_solde_migratoire_en;population_de_moins_de_20_ans;population_de_60_ans_et_plus;taux_de_chomage_au_t4_en;taux_de_pauvrete_en;nombre_de_logements;nombre_de_residences_principales;taux_de_logements_sociaux_en;parc_social_nombre_de_logements;parc_social_loyer_moyen_en_eur_m2_mois;parc_social_age_moyen_du_parc_en_annees;parc_social_taux_de_logements_energivores_e_f_g_en
Landes;Nouvelle-Aquitaine;2082;408172;44;9.0;0.0;10.0;21;31;8.0;12.0;252298;183092;6.0;12774;5.2;29;9
Loire;Auvergne-Rhone-Alpes;2182;762214;159;2.0;2.0;0.0;24;28;8.0;14.0;394202;337676;17.0;59710;5.0;43;21
Loire-Atlantique;Pays de la Loire;2368;1410994;207;12.0;4.0;7.0;25;23;6.0;10.0;729714;611300;14.0;86329;5.8;32;4
Loiret;Centre-Val de Loire;2291;677354;99;4.0;3.0;0.0;25;25;8.0;13.0;341549;294190;17.0;50142;5.8;36;21
Loir-et-Cher;Centre-Val de Loire;2152;331627;52;1.0;0.0;1.0;22;31;7.0;12.0;182821;149351;14.0;21292;4.8;36;24
Lot;Occitanie;2050;172296;33;0.0;-4.0;4.0;18;37;8.0;15.0;117328;82586;6.0;5220;5.3;33;17
Lot-et-Garonne;Nouvelle-Aquitaine;2024;331156;61;1.0;-1.0;2.0;21;32;8.0;16.0;184194;151909;6.0;10337;5.2;34;11
Lozere;Occitanie;1903;75949;14;-1.0;-3.0;1.0;21;32;5.0;15.0;60395;34634;8.0;2856;5.1;37;39
Maine-et-Loire;Pays de la Loire;2128;814260;113;5.0;4.0;0.0;25;25;7.0;11.0;391283;351669;18.0;65330;5.3;34;19
Manche;Normandie;2120;494827;83;0.0;0.0;0.0;22;31;6.0;12.0;295248;226479;16.0;37708;4.6;40;35
Marne;Grand Est;2271;568668;69;0.0;3.0;-2.0;24;25;8.0;14.0;292095;258941;28.0;72750;5.3;40;34
Martinique;DOM-TOM;2235;368640;326;-7.0;3.0;-10.0;22;27;17.0;30.0;211621;167004;19.0;32660;5.5;25;
Mayenne;Pays de la Loire;2060;305979;59;0.0;2.0;-1.0;25;28;5.0;11.0;155625;133395;11.0;15636;4.7;37;11
Meurthe-et-Moselle;Grand Est;2220;732902;139;0.0;2.0;-2.0;23;25;8.0;14.0;373165;331523;16.0;53159;5.5;40;27
Meuse;Grand Est;2059;186083;29;-4.0;0.0;-4.0;22;29;8.0;15.0;99550;83740;12.0;10399;4.9;42;62
Morbihan;Bretagne;2126;750512;109;5.0;0.0;5.0;22;31;7.0;11.0;459455;342285;10.0;36683;5.4;30;18
Moselle;Grand Est;2184;1040040;167;0.0;1.0;-2.0;22;26;8.0;14.0;510597;454580;17.0;77971;5.4;46;31
