nom_departement;Localisation;NB_habitant;Densite_pop_km²;Variation_pop_sur_10_ans_%;Contribution_solde_naturel_%;Contribution_solde_migratoire_%;Pop_moins_20_ans;Population_60_ans_et_plus;Taux_de_chomage_t4_%;Taux_de_pauvrete_%;NB_logements;NB_residences_principales;Parc_social_NB_logements;Parc_social_loyer_moyen_km²_mensuel;Parc_social_age_moyen;Parc_social_taux_de_logements_energivores_%
Lozère;Sud;76573;14;-0,66;-4,049;3,389;20;33;4,7;14,5;61340;35191;2893;5,157;37;39
Maine-et-Loire;Nord;818345;114;4,273;3,518;0,755;25;26;7,2;11,4;397886;358513;66463;5,355;34;16
Manche;Nord;492896;83;-1,173;-1,463;0,29;21;32;5,8;12;298631;228960;37820;4,729;42;34
Marne;Nord;563834;69;-0,261;2,732;-2,993;24;26;7,6;14,4;295610;260554;73839;5,362;39;31
Martinique;DOM-TOM;359821;318;-8,715;2,562;-11,277;21;30;14,9;29,8;213707;167251;33971;5,592;25;
Mayenne;Nord;306123;59;-0,07;1,632;-1,702;24;29;5,3;11,5;157551;134870;16069;4,926;36;25
Meurthe-et-Moselle;Nord;731533;139;-0,092;1,894;-1,986;23;26;7,5;15,4;378055;335359;53153;5,546;41;22
Meuse;Nord;181387;29;-6,464;-0,64;-5,824;22;30;7,3;14,5;99893;83213;10134;5,049;43;57
Morbihan;Nord;760313;111;5,357;-0,981;6,337;22;32;6,6;11,2;468872;350465;37612;5,367;30;17
Moselle;Nord;1041009;167;-0,388;1,363;-1,752;22;27;7,7;15,3;518771;460366;78412;5,471;46;20
Nièvre;Nord;201755;29;-8,119;-5,497;-2,623;19;38;6,2;15,7;141622;100743;13538;5,139;44;32
Nord;Nord;2601802;453;0,971;4,727;-3,756;26;23;9,8;19,1;1224589;1111650;271808;5,687;40;24
Oise;Nord;829408;141;3,212;4,949;-1,737;26;23;8;12,9;376184;340146;67459;5,534;39;27
Orne;Nord;277400;45;-4,883;-1,969;-2,915;21;34;7,3;15,4;165463;129524;21068;4,667;42;38
Paris;Nord;2154092;20515;-3,999;6,607;-10,606;18;22;6,8;15,2;1386846;1140771;232999;7,992;56;15
Pas-de-Calais;Nord;1459364;218;-0,138;2,32;-2,458;25;25;9;19,3;717901;617546;161359;5,638;50;22
Puy-de-Dôme;Sud;666274;83;5,371;0,723;4,648;22;28;6,8;13,2;389711;309808;43074;5,35;37;15
Pyrénées-Atlantiques;Sud;685441;89;4,885;-1,031;5,916;21;31;6,6;12,3;409790;320924;36819;5,718;33;4
Pyrénées-Orientales;Sud;478983;116;6,786;-1,607;8,393;21;33;12,2;21;352741;224381;24846;5,448;30;1
Rhône;Sud;1882578;579;9,124;7,825;1,299;25;22;7,3;14,2;926575;829300;175627;6,117;40;23
Saône-et-Loire;Nord;549364;64;-1,134;-1,737;0,603;21;33;6,7;13,1;311498;256157;42663;5,229;45;27
Sarthe;Nord;563536;90;0,003;1,505;-1,502;24;29;7,7;13,1;292627;251958;39234;5,115;38;21
Savoie;Sud;436834;72;5,272;2,679;2,592;22;27;6,6;10;349226;198138;34769;5,898;36;36
Seine-et-Marne;Nord;1426334;241;7,659;7,834;-0,175;27;20;7,3;11,8;619783;559614;107305;6,314;35;23
Seine-Maritime;Nord;1252833;199;0,194;2,751;-2,558;24;26;8,8;14,9;645785;568220;147572;5,468;40;19
Seine-Saint-Denis;Nord;1657893;7024;8,925;13,264;-4,339;29;16;11,1;28,4;679663;632024;231016;6,604;41;18
Somme;Nord;568750;92;-0,349;1,322;-1,671;24;26;9,1;16,4;301740;251457;41888;5,577;38;31
Tarn;Sud;389012;67;3,632;-1,385;5,017;21;32;8;15,6;212905;177548;15385;4,956;44;27
Tarn-et-Garonne;Sud;261307;70;8,113;0,976;7,137;24;29;9,2;17;132602;111851;8684;5,459;31;20
